"FIPS_N","ag","black","feemp","foreign","hisp","hsch","manu","povty","retail"
27145,4.199999809,0.829999983,66.37000275,2.359999895,1.370000005,33.38000107,17.01000023,9.399999619,16.13999939
27115,5.179999828,1.289999962,56.68999863,1.090000033,1.75,40.93999863,13.59000015,9.899999619,10.85000038
27153,10.22999954,0.109999999,54.50999832,1.840000033,1.899999976,41.25,24.06999969,11.72999954,10.38000011
27031,2.960000038,0.289999992,60.25999832,2.670000076,0.75,28.54999924,6.179999828,10.18000031,12.77999973
27071,4.409999847,0.189999998,51.70999908,5.860000134,0.560000002,37.45000076,23.27000046,9.989999771,12.76000023
27051,14.14000034,0.209999993,55.56999969,0.670000017,0.519999981,35.34999847,9.93999958,7.130000114,11.81000042
27029,8.199999809,0.189999998,53.16999817,0.939999998,0.769999981,35.34999847,10.52000046,12.22000027,11.47000027
27125,9.789999962,0.189999998,55.02999878,1.120000005,0.300000012,38.24000168,14.65999985,9.649999619,13.77999973
27095,3.940000057,0.270000011,58.43999863,1.059999943,0.959999979,40.36999893,22.31999969,8.149999619,12.38000011
27007,3.789999962,0.360000014,57.61000061,1.799999952,0.99000001,28.62999916,9.489999771,16.30999947,12.43000031
27143,9.31000042,0.119999997,63.72000122,2.579999924,5.429999828,40.09999847,27.29000092,7,9.460000038
27023,8.670000076,0.180000007,56.63999939,1.360000014,1.919999957,37.61000061,18.27000046,7.360000134,11.42000008
27127,11.09000015,0.129999995,57.75999832,0.709999979,1.139999986,36.99000168,17.29999924,6.860000134,12.10999966
27111,7.869999886,0.289999992,54.47000122,2.039999962,1.669999957,33.16999817,13.97999954,8.699999809,13.85999966
27121,12.27999973,0.200000003,54.77999878,0.930000007,0.50999999,33.45999908,14.88000011,7.159999847,11.02999973
27081,16.64999962,0.050000001,54.88999939,0.720000029,0.860000014,38.52999878,12.52999973,7.179999828,10.89000034
27017,2.059999943,0.970000029,55.84000015,1.580000043,0.839999974,37.36000061,16.01000023,7.079999924,10.36999989
27001,4.96999979,0.230000004,46.75,0.930000007,0.600000024,39.59999847,13.56999969,10.06999969,10.80000019
27059,1.940000057,0.25999999,64.69000244,1.299999952,0.829999983,38.36000061,21.63999939,4.880000114,11.18000031
27171,2.049999952,0.25999999,69.62999725,1.070000052,1.100000024,36.79999924,20.56999969,3.74000001,12.52999973
27109,1.279999971,2.680000067,66.44999695,7.849999905,2.380000114,23.97999954,15.53999996,5.550000191,11.21000004
27079,4.670000076,0.150000006,65.63999939,1.809999943,3.920000076,38.31999969,25.38999939,5.670000076,9.260000229
27043,11.56000042,0.239999995,55.22999954,1.580000043,3.5,40.81999969,18.79999924,7.340000153,10.34000015
27165,7.880000114,0.370000005,57,7.989999771,15.18999958,38.95000076,27.19000053,8.06000042,10.19999981
27049,5.5,0.629999995,63.41999817,1.159999967,1.070000052,36.50999832,19.68000031,4.570000172,10.88000011
27097,9.140000343,0.209999993,58.75,0.970000029,0.639999986,38.72000122,18.09000015,8.800000191,11.64000034
27087,11.80000019,0.129999995,55.11999893,1.289999962,0.889999986,34.04999924,3.869999886,14.22999954,7.789999962
27003,0.280000001,1.600000024,70.55000305,3.609999895,1.659999967,32.43999863,20.69000053,3.690000057,12.52000046
27075,3.74000001,0.100000001,54.59000015,1.710000038,0.569999993,37.49000168,9.600000381,6.900000095,9.180000305
27117,13.46000004,0.170000002,58.72999954,1.389999986,0.699999988,36.04000092,13.80000019,7.940000057,10.75
27159,7.53000021,0.479999989,52.00999832,0.970000029,0.930000007,36.91999817,15.75,13.71000004,12.39000034
27101,15.14999962,0.100000001,58.18999863,1.399999976,1.470000029,37.75,11.68999958,7.730000019,10.64000034
27083,6.360000134,1.49000001,63.43000031,4.519999981,3.970000029,32.47000122,22.40999985,9.399999619,13.32999992
27047,5.159999847,0.239999995,56.56999969,3.099999905,6.289999962,37.70999908,26.03000069,7.610000134,12.44999981
27037,0.540000021,2.269999981,71.29000092,5.070000172,2.940000057,23.54000092,13.92000008,3.140000105,11.69999981
27019,1.600000024,0.589999974,68.79000092,3.420000076,2.549999952,26.63999939,20.48999977,2.789999962,11.34000015
27021,4.190000057,0.109999999,52.63000107,0.839999974,0.810000002,36.45999908,9.609999657,11.39999962,13.72000027
27057,4.900000095,0.170000002,52.68000031,1.139999986,0.670000017,34.43000031,12.23999977,8.43999958,13.03999996
